Player,Tournament,Team
baw14maw,Timeless Cup,"['/images/131.png', '/images/340.png', '/images/230.png', '/images/364.png', '/images/148.png', '/images/154.png']"
baw14maw,Ferocious Cup,"['/images/435.png', '/images/31.png', '/images/134.png', '/images/197.png', '/images/400.png', '/images/ninetales-alola.png']"
baw14maw,Ferocious Cup,"['/images/435.png', '/images/31.png', '/images/134.png', '/images/197.png', '/images/400.png', '/images/ninetales-alola.png']"
baw14maw,Ferocious Cup,"['/images/435.png', '/images/31.png', '/images/134.png', '/images/197.png', '/images/400.png', '/images/ninetales-alola.png']"
baw14maw,Ferocious Cup,"['/images/435.png', '/images/31.png', '/images/134.png', '/images/197.png', '/images/400.png', '/images/ninetales-alola.png']"
baw14maw,Open Great League (Ranked) Tournament,"['/images/184.png', '/images/deoxys-defense.png', '/images/334.png', '/images/muk-alola.png', '/images/379.png', '/images/154.png']"
baw14maw,Sinister Cup,"['/images/303.png', '/images/62.png', '/images/208.png', '/images/356.png', '/images/249.png', '/images/marowak-alola.png']"
baw14maw,Sinister Cup,"['/images/303.png', '/images/62.png', '/images/208.png', '/images/356.png', '/images/249.png', '/images/marowak-alola.png']"
baw14maw,Sinister Cup,"['/images/62.png', '/images/208.png', '/images/426.png', '/images/356.png', '/images/344.png', '/images/411.png']"
baw14maw,Mirror Cup,"['/images/260.png', '/images/476.png', '/images/357.png', '/images/184.png', '/images/227.png', '/images/308.png']"
baw14maw,Mirror Cup,"['/images/476.png', '/images/260.png', '/images/184.png', '/images/357.png', '/images/227.png', '/images/308.png']"
baw14maw,Mirror Cup,"['/images/476.png', '/images/260.png', '/images/184.png', '/images/357.png', '/images/227.png', '/images/308.png']"
baw14maw,Mirror Cup,"['/images/184.png', '/images/248.png', '/images/49.png', '/images/73.png', '/images/454.png', '/images/211.png']"
baw14maw,Mirror Cup,"['/images/131.png', '/images/260.png', '/images/357.png', '/images/334.png', '/images/171.png', '/images/227.png']"
baw14maw,Jungle Cup,"['/images/288.png', '/images/416.png', '/images/171.png', '/images/205.png', '/images/164.png', '/images/3.png']"
baw14maw,Jungle Cup,"['/images/288.png', '/images/416.png', '/images/171.png', '/images/205.png', '/images/164.png', '/images/3.png']"
baw14maw,Jungle Cup,"['/images/288.png', '/images/416.png', '/images/171.png', '/images/205.png', '/images/164.png', '/images/3.png']"
baw14maw,Ranked Tournament,"['/images/184.png', '/images/227.png', '/images/171.png', '/images/386.png', '/images/302.png', '/images/308.png']"
baw14maw,Rainbow Cup,"['/images/38.png', '/images/205.png', '/images/195.png', '/images/80.png', '/images/154.png', '/images/226.png']"
baw14maw,Rainbow Cup,"['/images/195.png', '/images/38.png', '/images/205.png', '/images/80.png', '/images/154.png', '/images/226.png']"
baw14maw,Rainbow Cup,"['/images/195.png', '/images/205.png', '/images/38.png', '/images/80.png', '/images/154.png', '/images/226.png']"
baw14maw,Rainbow Cup,"['/images/195.png', '/images/38.png', '/images/205.png', '/images/80.png', '/images/154.png', '/images/226.png']"
baw14maw,Nightmare Cup,"['/images/178.png', '/images/raichu-alola.png', '/images/197.png', '/images/454.png', '/images/452.png', '/images/97.png']"
baw14maw,Nightmare Cup,"['/images/178.png', '/images/raichu-alola.png', '/images/197.png', '/images/454.png', '/images/452.png', '/images/97.png']"
baw14maw,Nightmare Cup,"['/images/178.png', '/images/raichu-alola.png', '/images/197.png', '/images/454.png', '/images/452.png', '/images/97.png']"
baw14maw,Season 1 Regionals,"['/images/184.png', '/images/357.png', '/images/227.png', '/images/411.png', '/images/302.png', '/images/308.png']"
baw14maw,Ranked Tournament,"['/images/184.png', '/images/357.png', '/images/227.png', '/images/411.png', '/images/302.png', '/images/308.png']"
baw14maw,Ranked Tournament,"['/images/184.png', '/images/357.png', '/images/227.png', '/images/411.png', '/images/302.png', '/images/308.png']"
baw14maw,Kingdom Cup,"['/images/411.png', '/images/334.png', '/images/131.png', '/images/448.png', '/images/208.png', '/images/257.png']"
baw14maw,Kingdom Cup,"['/images/334.png', '/images/448.png', '/images/208.png', '/images/411.png', '/images/marowak-alola.png', '/images/131.png']"
baw14maw,Ranked Tournament,"['/images/340.png', '/images/184.png', '/images/334.png', '/images/154.png', '/images/302.png', '/images/308.png']"
baw14maw,Ranked Tournament,"['/images/435.png', '/images/340.png', '/images/357.png', '/images/184.png', '/images/334.png', '/images/308.png']"
