Player ID,Player Location,Player URL,Battles,Wins,Losses
baw14maw,"Angeles City, Pampanga, Philippines",https://sil.ph/baw14maw,49,33,16
RangerMimikyu,"Manila, Philippines",https://sil.ph/RangerMimikyu,60,49,11
MaelstromVS01,Zamboanga City,https://sil.ph/MaelstromVS01,27,24,3
AzorAhaiAA,"Mandaluyong, Philippines",https://sil.ph/AzorAhaiAA,105,79,26
Hawkchaaaan,"Tambo, Parañaque City",https://sil.ph/Hawkchaaaan,187,130,57
XiaoYiSheng,"Quezon City, Philippines",https://sil.ph/XiaoYiSheng,59,51,8
yugure12,"Albay, Philippines",https://sil.ph/yugure12,22,16,6
Takato040514,,https://sil.ph/Takato040514,53,36,17
reezachi,"BGC, Philippines",https://sil.ph/reezachi,32,23,9
BlitzStriker91,"Cagayan de Oro City, Misamis Oriental",https://sil.ph/BlitzStriker91,15,13,2
MYSTICxxKNIGHT,,https://sil.ph/MYSTICxxKNIGHT,37,20,17
JMLuisM,"Makati City, Philippines",https://sil.ph/JMLuisM,69,52,17
rajahsulaymann,"Davao City, Philippines",https://sil.ph/rajahsulaymann,16,13,3
ooOOizanagiOOoo,CEBU DOWNTOWN,https://sil.ph/ooOOizanagiOOoo,36,22,14
Raammmm,"Alaminos City Pangasinan, Philippines",https://sil.ph/Raammmm,25,20,5
WorldApartZ7,Cebu's United League of Trainers,https://sil.ph/WorldApartZ7,16,13,3
